ID;Author;Country;Title;Url;;;
182;"*Catalogus		= Catalogus van Folklore in de Koninklijke Bibliotheek. 3 vols. 'sGravenhage, 1919--22.";;;;;;
183;;;;;;;
184;"CColl			= Colorado College Publications, Language Series.";;;;;;
185;;;;;;;
186;"Les Cent Nouvelles Nouvelles.	2 vols. (ed. Pierre Champion). Paris, 1928.";F;;;;;
187;;;;;;;
188;Chantepie de la Saussaye. See Saussaye.;F;;;;;
189;;;;;;;
190;"Charpentier, Jarl.	";;Kleine BeitrÑge zur indoiranischen Mythologie (Uppsala Universitets èrsskrift). Uppsala, 1911.;;;;
191;;;;;;;
192;"*Chatelain, Heli.	";;Folk-Tales of Angola (MAFLS I). Boston and New York, 1894.;https://archive.org/details/folktalesangola00chatgoog;;;
193;;;;;;;
194;"*Chauvin, Victor.	";F;Bibliographie des ouvrages arabes. 12 vols. Liäge, 1892--1922.;https://archive.org/details/bibliographiede02chaugoog;;;
195;;;;;;;
196;"*Chavannes, êdouard	";F;Cinq cent contes et apologues extraits du Tripitaka chinois. 4 vols. Paris, 1910--34.;https://archive.org/details/cinqcentscontese01chavuoft;;;
197;;;;;;;
198;;;;;;;
199;;;;;;;
200;"*Child, Francis James.	";;The English and Scottish Popular Ballads. 5 vols in 10. Boston, 1882--98.;https://archive.org/details/englishscottishp1904chil;;;
201;;;;;;;
202;"?Childers, J. W.	";;Motif-Index of the Cuentos of Juan Timoneda. Bloomington, Ind., 1947.;;;;
203;;;;;;;
204;"Christensen, Arthur	";;Dumme Folk (DF No. 50). Kobenhavn 1941. Molboernes vise Gerninger (DF No. 47). Kobenhavn, 1939.;;;;
205;;;;;;;
206;"*Christiansen, R.	";;Th. Norske Eventyr (Norske Folkeminder II). Kristiania, 1921.;;;;
207;;;;;;;
208;"CI				= Publications of the Carnegie Institution of Washington.";;;;;;
209;;;;;;;
210;"*Clark, Mrs. K. M.	";;Maori Tales and Legends. London, 1896.;https://archive.org/details/cu31924029908393;;;
211;;;;;;;
212;"*Clodd, Edward.	";;Tom-Tit-Tot. London, 1898.;https://archive.org/details/tomtittotanessa02clodgoog;;;
213;;;;;;;
214;"*Clouston, W. A.	";;The Book of Noodles. London, 1888.;https://archive.org/details/bookofnoodlessto00clouuoft;;;
215;"*Clouston, W. A.	";;"				A Group of Eastern Romances and Stories. Glasgow, 1889.";https://archive.org/details/groupofeasternro00clou;;;
216;"*Clouston, W. A.	";;"				*Popular Tales and Fictions. 2 vols. Edinburgh, London, 1887.";https://archive.org/details/populartalesfict02clouuoft;;;
217;;;;;;;
218;"CNAE				= Contributions to North American Ethnology. Washington, 1877--93.";;;https://archive.org/details/contributionston31877powe;;;
219;;;;;;;
