206;332;Récits et Contes populaires de Provence 2;Guy Mathieu;Gallimard;1979;;332
207;333;Récits et Contes populaires de Catalogne 1;Dominique Blanc;Gallimard;1979;;333
208;334;Contes Picards merveilleux ou plaisants;E. Henry Carnoy;Arbre d'Or - ré-édition;2001;;334
209;335;Contes Français;Carnoy;Arbre d'or;2001;;335
210;336;Contes de la côte d'azur;James Bruyn Andrews;Arbre d'Or;2001;;336
211;337;Contes du Berry;Laisnel de La Salle;Arbre d'Or;2002;;337
212;338;Contes et légendes de Bruz et de Chartres-de-Bretagne;Paul Sébillot - Adolphe Orain;Arbre d'Or;2002;;338
213;339;Littérature Orale de l'Auvergne;Paul Sébillot;Maisonneuve et Larose;;;339
214;340;Contes berbères;René Basset;Ernest Leroux;1887;;340
215;341;Nouveaux contes populaires russes;Afanassiev;Maisonneuve et Larose;2003;Lise Gruel Appert;341
216;342;Blanca Flor et autres contes d'Espagne;collectés par Aurelio M. Espinosa;José Corti;2003;Marianne Millon;342
217;343;Des belles et des bêtes;Fabienne Raphoz;José Corti;2003;;343
218;344;Récits et contes populaires d'Auvergne;Marie Louise Ténèze;Gallimard;1978;;344
219;345;Récits et contes populaires de Corse;Marie France Orsini-Marzoppi;Gallimard;1978;;345
220;346;Récits et contes populaires du Languedoc/2;Jean Guilaine;Gallimard;1978;;346
221;347;Récits et contes populaires du Languedoc/3;Claudine et Daniel Fabre;Gallimard;1978;;347
222;348;Récits et contes populaires des Flandres;Fernand Carton;Gallimard;1980;;348
223;349;Récits et contes populaires de Lyon;Jacques Vallerant;Gallimard;1978;;349
224;350;Récits et contes populaires de Gascogne/1;Suzanne Céérac-Perbosc;Gallimard;1979;;350
225;351;Récits et contes populaires de Gascogne/2;François Lalanne;Gallimard;1979;;351
226;352;Contes populaires persans du Khorassan Vol 1;A. Boulvin;C.Klincksieck;1975;;352
227;353;Récits et contes populaires de Provence/1;Jacques Lacroix;Gallimard;1979;;353
228;354;Contes des Pyrénées;Gaston Maugard;Erasme;1955;;354
229;355;Incarnat blanc et or;Paul Delarue;Les quatre jeudis;1955;;355
230;356;Paroles d'or et d'argent;Marie Vidaud, Nicole Pintureau, Michel Valière;Centre départemental de documentation pédagogique de la Charente;1994;;356
231;357;Les contes du grand père I Contes d'animaux;Léon Pineau;Delagrave;1934;;357
232;358;Les contes du grand père II Féeries et aventures;Léon Pineau;Delagrave;1929;;358
233;359;Contes Populaires Suédois;Léon Pineau;Delagrave;1934;;359
234;360;La porte d'argent - Contes Sardes;Lauranne Milliquet;SlatkineSodifer;2003;;360
235;361;Les légendes & récits populaires du pays basque;Jean-François Cerquand;Editions Aubéron;2003;;361
236;362;Récits et contes populaires des Pyrenées/1;Jean-Pierre Piniès;Gallimard;1978;;362
237;363;Contes Merveilleux de Provence;Jean-Luc Domenge;TAC Motifs;2003;;363
238;364;Contes populaires de l'Ariège;Charles Joisten;Maisonneuve et Larose;1965;;364
239;365;Récits et contes populaires du Languedoc/1;Jacques Lacroix;Gallimard;1978;;365
240;366;Contes populaires du Cambodge;François Martini et Solange Bernard;G.P. Maisonneuve;1946;;366
241;367;Contes populaires persans du Khorassan Vol 2;A. Boulvin;C.Klincksieck;1975;E. Chocourzadeh;367
242;368;Contes & récits des pays de Bigorre;Christian Desplat & jean François Le Nail;Eché Editeur;1985;;368
243;369;Contes et légendes de Hongrie;Sandor Solymossy;Les éditions internationales;1936;Mme A. Balasko-Moreau;369
244;370;Contes de France;Paul Delarue et Marie-Louise Tenèze;Hatier;1980;;370
245;371;Contes populaires de l'Auvergne;Marie-Aimée Méraville;Maisonneuve et Larose;1970;;371
246;372;Contes Norvégiens;Léon Pineau;Delagrave;1930;;372
