15329;Le jugement de ch�miaka;;;1;1534;;0;;0;;0;;0;;0;;;;;;142-319/184 a;2
15330;Le potier;;;1;921;E;0;;0;;0;;0;;0;;;;;;143-324/186 a;2
15331;Les bonnes r�ponses;;;1;922;;0;;0;;0;;0;;0;;;;;;144-326/187;2
15332;La fille avis�e;;;1;921;;0;;0;;0;;0;;0;;;;;;145-327/188 a;2
15333;La fillette de sept ans;;;1;875;;0;;0;;0;;0;;0;;;;;;146-328/188 b;2
15334;La fille de marchand calomni�e;;;1;882;A;0;;0;;0;;0;;0;;;;;;147-336/194 a;2
15335;La tsarine-joueur de gousli;;;1;888;;0;;0;;0;;0;;0;;;;;;148-338/195;2
15336;Alionouchka et les brigands;;;1;956;B;1685;;0;;0;;0;;0;;;;;;149-342/199;2
15337;Le noble sans peur;;;1;326;B;0;;0;;0;;0;;0;;;;;;150-350/204 c;2
15338;Le vampire;;;1;363;;407;;0;;0;;0;;0;;;;;;151-363/206;2
15339;Ivan-fils de marchand veille la princesse morte;;;1;307;;0;;0;;0;;0;;0;;;;;;152-364/207;2
15340;Le soldat et la sorci�re;;;1;307;;0;;0;;0;;0;;0;;;;;;153-367/208 c;2
15341;L'illusion I;;;1;664;B;0;;0;;0;;0;;0;;;;;;154-374/214 a;2
15342;Le tsar Agu��;;;1;664;A;664;B;0;;0;;0;;0;;;;;;155-377/214 c;2
15343;A malin malin et demi;;;1;0;;0;;0;;0;;0;;0;;;;;;156-378/215;2
15344;La voyante;;;1;1641;;0;;0;;0;;0;;0;;;;;;157-379/216 a;2
15345;Ivan le larron;;;1;1525;A;1525;P;1737;;0;;0;;0;;;;;;158-383/219 a;2
15346;Le paysan filou;;;1;1540;;1540;A;1528;;0;;0;;0;;;;;;159-391/220;2
15347;Le corps;;;1;1537;;0;;0;;0;;0;;0;;;;;;160-395/222 a;2
15348;Le bouffon;;;1;1539;;1542;II;1538;+;0;;0;;0;;;;;;161-397/223 a;2
15349;Ivanouchka l'Idiot;;;1;1681;A;1691;;0;;0;;0;;0;;;;;;162-400/224 a;2
15350;L'idiot et le bouleau;;;1;1643;;1600;;0;;0;;0;;0;;;;;;163-402/225;2
15351;Le nigaud;;;1;1696;;0;;0;;0;;0;;0;;;;;;164-404/226 b;2
15352;Loutonia;;;1;1450;;1384;;1210;;1214;+;1263;;0;;;;;;165-405/227 a;2
15353;L'�change;;;1;1960;G;0;;0;;0;;0;;0;;;;;;166-409/228 c;2
15354;Tout va tr�s bien ou le noble ruin�;;;1;2040;;1930;B;1702;C;0;;0;;0;;;;;;167-417/230 f;2
15355;Si �a ne te pla�t pas, n'�coutepas II;;;1;1932;;0;;0;;0;;0;;0;;;;;;168-425/231 h;2
15356;Si �� ne te pla�t pas, n'�coute pas III;;;1;1920;C;1882;A;1886;;1889;K;0;;0;;;;;;169-427/231 k;2
15357;Foma B�r�nikov;;;1;70;;1640;;1880;;0;;0;;0;;;;;;170-432/235 b;2
15358;La mauvaise femme II;;;1;1164;;1408;;0;;0;;0;;0;;;;;;171-435/236e;2
15359;Le mari et la femme;;;1;1360;C;0;;0;;0;;0;;0;;;;;;172-445/240;2
15360;La peau cher vendue;;;1;1535;;0;;0;;0;;0;;0;;;;;;173-447/242;2
15361;Anecdotes populaires ukrainiennes;;;1;2083;+;0;;0;;0;;0;;0;;;;;;174-176 455/249 c  474/249 x;2
15362;Anecdotes populaires russes;;;1;1228;;1423;;1533;;1826;;1383;;901;;1610;;;;175-181 462/249k;2
15363;Le loup et les petites chevrettes;;;2;0;;0;;0;;0;;0;;0;;0;;0;;1;3
15364;La bigue, les bigots et le loup;;;2;123;;0;;0;;0;;0;;0;;0;;0;;2;3
15365;Le loup et les trois petits pourceaux;;;2;0;;0;;0;;0;;0;;0;;0;;0;;3;3
15366;Ricochon;;;2;124;;0;;0;;0;;0;;0;;0;;0;;4;3
15367;Le carnaval des b�tes;;;2;130;;0;;0;;0;;0;;0;;0;;0;;5;3
15368;La petite moiti� de coq;;;2;715;;0;;0;;0;;0;;0;;0;;0;;6;3
15369;Le monde s'�croule;;;2;0;;0;;0;;0;;0;;0;;0;;0;;7;3
15370;Les ch�vres, le loup et le renard;;;2;0;;0;;0;;0;;0;;0;;0;;0;;8;3
15371;Le renard et la poule;;;2;122;;125;;0;;0;;0;;0;;0;;0;;9;3
15372;Le loup et le grillon;;;2;122;;0;;0;;0;;0;;0;;0;;0;;10;3
15373;Le loup et le mouton;;;2;9;B;0;;0;;0;;0;;0;;0;;0;;11;3
15374;Le colima�on et le renard;;;2;275;;0;;0;;0;;0;;0;;0;;0;;12;3
15375;Le loup et le lima�on;;;2;275;;0;;0;;0;;0;;0;;0;;0;;13;3
15376;La ch�vre dans la cabane du loup;;;2;0;;0;;0;;0;;0;;0;;0;;0;;14;3
15377;L'aigle et le roitelet;;;2;221;;0;;0;;0;;0;;0;;0;;0;;15;3
15378;Le conte de la rate;;;2;2019;;0;;0;;0;;0;;0;;0;;0;;16;3
15379;Bouquaire-Bouquil;;;2;2015;;0;;0;;0;;0;;0;;0;;0;;17;3
15380;L'agnelle;;;2;0;;0;;0;;0;;0;;0;;0;;0;;18;3
15381;La petite fourmi qui va � J�rusalem;;;2;0;;0;;0;;0;;0;;0;;0;;0;;19;3
15382;Les deniers;;;2;0;;0;;0;;0;;0;;0;;0;;0;;20;3
15383;Finon-Finette;;;2;327;;0;;0;;0;;0;;0;;0;;0;;21;3
15384;Le joueur de fifre;;;2;554;;0;;0;;0;;0;;0;;0;;0;;22;3
15385;Le tailleur et l'ouragan;;;2;563;;0;;0;;0;;0;;0;;0;;0;;23;3
15386;Le B�cut;;;2;328;;0;;0;;0;;0;;0;;0;;0;;24;3
15387;Courtillon-Courtillette;;;2;327;;0;;0;;0;;0;;0;;0;;0;;25;3
15388;Grain-de-Millet;;;2;700;;0;;0;;0;;0;;0;;0;;0;;26;3
15389;La petite sardine;;;2;555;;0;;0;;0;;0;;0;;0;;0;;27;3
15390;La f�ve de saint Pierre;;;2;555;;0;;0;;0;;0;;0;;0;;0;;28;3
15391;Les deux filles;;;2;327;;480;;0;;0;;0;;0;;0;;0;;29;3
15392;La r�colte de la Saint-Sylvestre;;;2;503;;0;;0;;0;;0;;0;;0;;0;;30;3
15393;La f�e renarde;;;2;460;B;461;;0;;0;;0;;0;;0;;0;;31;3
15394;Les neuf fr�res;;;2;450;;0;;0;;0;;0;;0;;0;;0;;32;3
15395;Les treize grains de bl� noir;;;2;325;;0;;0;;0;;0;;0;;0;;0;;33;3
15396;La princesse-souris;;;2;402;;0;;0;;0;;0;;0;;0;;0;;34;3
15397;Krampouez et les cinq cents cavaliers;;;2;569;;0;;0;;0;;0;;0;;0;;0;;35;3
15398;Le conte du roitelet;;;2;567;;0;;0;;0;;0;;0;;0;;0;;36;3
15399;La biche blanche au bois;;;2;403;B;0;;0;;0;;0;;0;;0;;0;;37;3
15400;Les trois pommes d'orange;;;2;570;;0;;0;;0;;0;;0;;0;;0;;38;3
15401;Bihanik et les g�ants;;;2;328;;0;;0;;0;;0;;0;;0;;0;;39;3
15402;Le navire marchant sur terre;;;2;513;;0;;0;;0;;0;;0;;0;;0;;40;3
15403;La petite soeur et le fr�re joli;;;2;450;;451;;403;;0;;0;;0;;0;;0;;41;3
15404;Le conte de la f�ve;;;2;0;;0;;0;;0;;0;;0;;0;;0;;42;3
15405;Maguetpell;;;2;650;;0;;0;;0;;0;;0;;0;;0;;43;3
15406;La biche blanche;;;2;313;;0;;0;;0;;0;;0;;0;;0;;44;3
15407;Le fils du roi d'Espagne;;;2;0;;0;;0;;0;;0;;0;;0;;0;;45;3
15408;Les trocs de Jean-Baptiste;;;2;0;;0;;0;;0;;0;;0;;0;;0;;46;3
15409;Mirlikovir;;;2;500;;0;;0;;0;;0;;0;;0;;0;;47;3
15410;L'agneau noir;;;2;571;;0;;0;;0;;0;;0;;0;;0;;48;3
15411;L'apprenti magicien;;;2;0;;0;;0;;0;;0;;0;;0;;0;;49;3
15412;Petit Jean et la grenouille;;;2;402;;0;;0;;0;;0;;0;;0;;0;;50;3
15413;Les trois pommes de Mariucella;;;2;511;;0;;0;;0;;0;;0;;0;;0;;51;3
